Python  46627  hfu  cwd    DIR               1,22        748              443916 /Volumes/Migrate-2025-04/github/fusi
Python  46627  hfu  txt    REG               1,13      51584            29249011 /opt/homebrew/Cellar/python@3.11/3.11.13/Frameworks/Python.framework/Versions/3.11/Resources/Python.app/Contents/MacOS/Python
Python  46627  hfu  txt    REG               1,22     262144            10897412 /Volumes/Migrate-2025-04/github/fusi/output/fusi_z13-14.pmtiles.mbtiles-shm
Python  46627  hfu  txt    REG               1,13      74440            29246584 /opt/homebrew/Cellar/python@3.11/3.11.13/Frameworks/Python.framework/Versions/3.11/lib/python3.11/lib-dynload/zlib.cpython-311-darwin.so
Python  46627  hfu  txt    REG               1,13      55064            29246513 /opt/homebrew/Cellar/python@3.11/3.11.13/Frameworks/Python.framework/Versions/3.11/lib/python3.11/lib-dynload/_bz2.cpython-311-darwin.so
Python  46627  hfu  txt    REG               1,13      52472            29246570 /opt/homebrew/Cellar/python@3.11/3.11.13/Frameworks/Python.framework/Versions/3.11/lib/python3.11/lib-dynload/fcntl.cpython-311-darwin.so
Python  46627  hfu  txt    REG               1,13      93040            29249015 /opt/homebrew/Cellar/python@3.11/3.11.13/Frameworks/Python.framework/Versions/3.11/lib/python3.11/lib-dynload/_lzma.cpython-311-darwin.so
Python  46627  hfu  txt    REG               1,13      54328            29246542 /opt/homebrew/Cellar/python@3.11/3.11.13/Frameworks/Python.framework/Versions/3.11/lib/python3.11/lib-dynload/_posixsubprocess.cpython-311-darwin.so
Python  46627  hfu  txt    REG               1,13      74144            29246578 /opt/homebrew/Cellar/python@3.11/3.11.13/Frameworks/Python.framework/Versions/3.11/lib/python3.11/lib-dynload/select.cpython-311-darwin.so
Python  46627  hfu  txt    REG               1,13     185536             4540283 /opt/homebrew/Cellar/xz/5.8.1/lib/liblzma.5.dylib
Python  46627  hfu  txt    REG               1,13      50176            29246561 /opt/homebrew/Cellar/python@3.11/3.11.13/Frameworks/Python.framework/Versions/3.11/lib/python3.11/lib-dynload/_typing.cpython-311-darwin.so
Python  46627  hfu  txt    REG               1,13      73720            29246522 /opt/homebrew/Cellar/python@3.11/3.11.13/Frameworks/Python.framework/Versions/3.11/lib/python3.11/lib-dynload/_csv.cpython-311-darwin.so
Python  46627  hfu  txt    REG               1,13    2299152 1152921500312560823 /usr/lib/dyld
Python  46627  hfu  txt    REG               1,13      93704            29246572 /opt/homebrew/Cellar/python@3.11/3.11.13/Frameworks/Python.framework/Versions/3.11/lib/python3.11/lib-dynload/math.cpython-311-darwin.so
Python  46627  hfu  txt    REG               1,13      51216            29246539 /opt/homebrew/Cellar/python@3.11/3.11.13/Frameworks/Python.framework/Versions/3.11/lib/python3.11/lib-dynload/_opcode.cpython-311-darwin.so
Python  46627  hfu  txt    REG               1,13      50592            29246520 /opt/homebrew/Cellar/python@3.11/3.11.13/Frameworks/Python.framework/Versions/3.11/lib/python3.11/lib-dynload/_contextvars.cpython-311-darwin.so
Python  46627  hfu  txt    REG               1,13      52480            37796214 /Users/hfu/.local/share/virtualenvs/fusi-tnk7_Ue8/lib/python3.11/site-packages/rasterio/.dylibs/libsz.2.dylib
Python  46627  hfu  txt    REG               1,13    4927904            29249010 /opt/homebrew/Cellar/python@3.11/3.11.13/Frameworks/Python.framework/Versions/3.11/Python
Python  46627  hfu  txt    REG               1,13      77008            29246554 /opt/homebrew/Cellar/python@3.11/3.11.13/Frameworks/Python.framework/Versions/3.11/lib/python3.11/lib-dynload/_struct.cpython-311-darwin.so
Python  46627  hfu  txt    REG               1,13     116544            29246527 /opt/homebrew/Cellar/python@3.11/3.11.13/Frameworks/Python.framework/Versions/3.11/lib/python3.11/lib-dynload/_datetime.cpython-311-darwin.so
Python  46627  hfu  txt    REG               1,13      74560            37796206 /Users/hfu/.local/share/virtualenvs/fusi-tnk7_Ue8/lib/python3.11/site-packages/rasterio/.dylibs/libaec.0.dylib
Python  46627  hfu  txt    REG               1,13     134528            29246540 /opt/homebrew/Cellar/python@3.11/3.11.13/Frameworks/Python.framework/Versions/3.11/lib/python3.11/lib-dynload/_pickle.cpython-311-darwin.so
Python  46627  hfu  txt    REG               1,13     142400            29246523 /opt/homebrew/Cellar/python@3.11/3.11.13/Frameworks/Python.framework/Versions/3.11/lib/python3.11/lib-dynload/_ctypes.cpython-311-darwin.so
Python  46627  hfu  txt    REG               1,13     105104            37796213 /Users/hfu/.local/share/virtualenvs/fusi-tnk7_Ue8/lib/python3.11/site-packages/rasterio/.dylibs/libdeflate.0.dylib
Python  46627  hfu  txt    REG               1,13     154752            37796681 /Users/hfu/.local/share/virtualenvs/fusi-tnk7_Ue8/lib/python3.11/site-packages/numpy/linalg/_umath_linalg.cpython-311-darwin.so
Python  46627  hfu  txt    REG               1,13      73400            29246533 /opt/homebrew/Cellar/python@3.11/3.11.13/Frameworks/Python.framework/Versions/3.11/lib/python3.11/lib-dynload/_json.cpython-311-darwin.so
Python  46627  hfu  txt    REG               1,13      89424            37796210 /Users/hfu/.local/share/virtualenvs/fusi-tnk7_Ue8/lib/python3.11/site-packages/rasterio/.dylibs/libgif.7.dylib
Python  46627  hfu  txt    REG               1,13      86800            37796209 /Users/hfu/.local/share/virtualenvs/fusi-tnk7_Ue8/lib/python3.11/site-packages/rasterio/.dylibs/libsharpyuv.0.dylib
Python  46627  hfu  txt    REG               1,13    3450344            37796728 /Users/hfu/.local/share/virtualenvs/fusi-tnk7_Ue8/lib/python3.11/site-packages/numpy/_core/_multiarray_umath.cpython-311-darwin.so
Python  46627  hfu  txt    REG               1,13     253440            37796222 /Users/hfu/.local/share/virtualenvs/fusi-tnk7_Ue8/lib/python3.11/site-packages/rasterio/.dylibs/liblzma.5.dylib
Python  46627  hfu  txt    REG               1,13      50536            29246562 /opt/homebrew/Cellar/python@3.11/3.11.13/Frameworks/Python.framework/Versions/3.11/lib/python3.11/lib-dynload/_uuid.cpython-311-darwin.so
Python  46627  hfu  txt    REG               1,13      52432            29246511 /opt/homebrew/Cellar/python@3.11/3.11.13/Frameworks/Python.framework/Versions/3.11/lib/python3.11/lib-dynload/_bisect.cpython-311-darwin.so
Python  46627  hfu  txt    REG               1,13      53808            29246544 /opt/homebrew/Cellar/python@3.11/3.11.13/Frameworks/Python.framework/Versions/3.11/lib/python3.11/lib-dynload/_random.cpython-311-darwin.so
Python  46627  hfu  txt    REG               1,13     447632            37796146 /Users/hfu/.local/share/virtualenvs/fusi-tnk7_Ue8/lib/python3.11/site-packages/rasterio/_base.cpython-311-darwin.so
Python  46627  hfu  txt    REG               1,13     178736            37796203 /Users/hfu/.local/share/virtualenvs/fusi-tnk7_Ue8/lib/python3.11/site-packages/rasterio/.dylibs/libblosc.1.10.2.dylib
Python  46627  hfu  txt    REG               1,13     131024            37796225 /Users/hfu/.local/share/virtualenvs/fusi-tnk7_Ue8/lib/python3.11/site-packages/rasterio/.dylibs/libjson-c.5.1.0.dylib
Python  46627  hfu  txt    REG               1,13     344672            37796207 /Users/hfu/.local/share/virtualenvs/fusi-tnk7_Ue8/lib/python3.11/site-packages/rasterio/.dylibs/libpng16.16.dylib
Python  46627  hfu  txt    REG               1,13      53152            29246549 /opt/homebrew/Cellar/python@3.11/3.11.13/Frameworks/Python.framework/Versions/3.11/lib/python3.11/lib-dynload/_sha512.cpython-311-darwin.so
Python  46627  hfu  txt    REG               1,13     797504            37796219 /Users/hfu/.local/share/virtualenvs/fusi-tnk7_Ue8/lib/python3.11/site-packages/rasterio/.dylibs/libcurl.4.dylib
Python  46627  hfu  txt    REG               1,13     789328            37796208 /Users/hfu/.local/share/virtualenvs/fusi-tnk7_Ue8/lib/python3.11/site-packages/rasterio/.dylibs/libssl.1.1.dylib
Python  46627  hfu  txt    REG               1,13     631520            37796221 /Users/hfu/.local/share/virtualenvs/fusi-tnk7_Ue8/lib/python3.11/site-packages/rasterio/.dylibs/libtiff.5.dylib
